class_name,query
com_trang,bát cơm trắng món ăn
com_trang,cooked white rice bowl food photo -emoji -icon
dau_hu_sot_ca,đậu hũ sốt cà món ăn
dau_hu_sot_ca,Vietnamese tofu tomato sauce food photo
ca_hu_kho,cá hú kho món ăn
ca_hu_kho,Vietnamese braised fish recipe photo
thit_kho_trung,thịt kho trứng món ăn
thit_kho_trung,Vietnamese caramelized pork eggs recipe photo
thit_kho,thịt kho món ăn
thit_kho,Vietnamese caramelized pork food photo
canh_chua_co_ca,canh chua cá món ăn
canh_chua_co_ca,Vietnamese sour fish soup food photo
canh_chua_khong_ca,canh chua rau món ăn
canh_chua_khong_ca,Vietnamese sour vegetable soup food photo
suon_nuong,sườn nướng món ăn
suon_nuong,Vietnamese grilled pork chop food photo
canh_rau,canh rau món ăn
canh_rau,Vietnamese vegetable soup food photo
rau_xao,rau xào món ăn
rau_xao,Vietnamese stir fried vegetables food photo
trung_chien,trứng chiên món ăn
trung_chien,Vietnamese omelette food photo
